Date,LTC.open,LTC.close,LTC.high,LTC.low,LTC.volume
2019-07-12 18:00:00,105.2,105.36,105.49,105.07,159.58360958
2019-07-12 18:30:00,105.34,105.3,105.39,104.87,107.66390117
2019-07-12 19:00:00,105.11,104.94,105.31,104.8,559.76769205
2019-07-12 19:30:00,104.98,105.1,105.13,104.58,336.51480745
2019-07-12 20:00:00,105.14,105.13,105.43,105.1,1107.60453399
2019-07-12 20:30:00,105.15,105.03,105.87,104.81,1442.15509221
2019-07-12 21:00:00,105.02,105.08,105.37,104.07,1325.08330903
2019-07-12 21:30:00,105.01,104.79,105.13,104.68,452.74535962
2019-07-12 22:00:00,104.69,104.28,104.93,104.19,346.25947929
2019-07-12 22:30:00,104.31,104.29,104.47,104.06,338.75802652
2019-07-12 23:00:00,104.24,104.73,104.93,104.24,504.27349544
2019-07-12 23:30:00,104.77,104.88,104.92,104.6,204.45459847
2019-07-13 00:00:00,104.95,104.08,105.1,104.08,566.48846918
2019-07-13 00:30:00,104.09,103.63,104.36,103.5,1404.0369827
2019-07-13 01:00:00,103.7,103.9,103.9,102.63,3804.11357628
2019-07-13 01:30:00,103.94,104.01,104.12,103.49,616.80483898
2019-07-13 02:00:00,103.87,103.8,104.02,103.8,190.61703434
2019-07-13 02:30:00,103.84,103.17,103.98,103.17,233.03202296999999
2019-07-13 03:00:00,103.14,102.87,103.45,102.62,1122.1001589300001
2019-07-13 03:30:00,102.66,102.6,102.9,102.52,533.73286603
2019-07-13 04:00:00,102.56,102.41,102.62,101.65,725.70183337
2019-07-13 04:30:00,102.51,102.89,102.89,102.3,790.74509397
2019-07-13 05:00:00,102.77,103.5,103.62,102.71,307.32433356
2019-07-13 05:30:00,103.56,102.91,103.56,102.9,53.40607945
2019-07-13 06:00:00,102.88,102.78,102.89,102.25,1344.96200619
2019-07-13 06:30:00,102.8,102.36,102.98,102.36,92.34173835
2019-07-13 07:00:00,102.27,102.33,102.43,101.65,809.84090377
2019-07-13 07:30:00,102.33,101.23,102.33,101.11,7477.19221742
2019-07-13 08:00:00,101.23,102.39,102.73,101.04,3016.32107932
2019-07-13 08:30:00,102.38,102.01,102.4,101.75,736.60516266
2019-07-13 09:00:00,102.07,102.42,102.47,101.82,2462.4300986
2019-07-13 09:30:00,102.44,102.5,102.76,102.25,1243.35526044
2019-07-13 10:00:00,102.43,101.1,102.47,100.09,4347.87971233
2019-07-13 10:30:00,101.02,100.56,101.16,100.0,3752.3689963
2019-07-13 11:00:00,100.57,101.04,101.04,100.57,419.6798947
2019-07-13 11:30:00,100.82,100.09,100.82,99.173,6372.8473955
2019-07-13 12:00:00,100.13,100.55,101.14,99.517,2912.3642566
2019-07-13 12:30:00,100.65,100.72,100.96,100.36,142.33512435
2019-07-13 13:00:00,100.81,103.16,104.0,100.81,3870.61624381
2019-07-13 13:30:00,103.14,102.05,103.2,101.91,691.44310041
2019-07-13 14:00:00,102.05,102.43,103.27,102.05,3471.99777008
2019-07-13 14:30:00,102.44,101.82,102.56,101.46,823.97058279
2019-07-13 15:00:00,101.77,102.65,102.71,101.62,894.0812068500001
2019-07-13 15:30:00,102.55,102.57,102.78,102.0,301.59729414
2019-07-13 16:00:00,102.48,101.92,103.0,101.71,737.16716332
2019-07-13 16:30:00,102.03,101.5,102.09,101.11,598.9866135
2019-07-13 17:00:00,101.44,101.77,102.15,101.07,769.80760048
2019-07-13 17:30:00,101.7,101.73,101.92,101.58,183.51126334
2019-07-13 18:00:00,101.64,100.35,101.64,99.665,4018.47096605
2019-07-13 18:30:00,100.23,100.32,100.98,100.02,1004.58937685
